código;descrição;estação;Rack;linha;coluna
56047;QDB ESPONJA MAQUIAGEM PU;SALA G;Rack 1;6;F
56209;CASA 214 DIFUS VARET VANILLA SBLM 250ml;rua 6;Rack 2;10;D
56417;GLAM BAT LIQ DUO/CLIN CAN/SUBLIM V2 3,5g;RUA 03;Rack 5;10;E
56421;GLAM BAT LIQ DUO/CLIN MAG/ENIG V2 3,5g;RUA 03;Rack 3;6;G
56422;GLAM BAT LIQ DUO/CLIN MASC/IRRES V2 3,5g;rua 6;Rack 1;3;AK
52166;NEO DERMO GEL ANTIOX REVIT ACTIV PRO 30g;RUA 05;Rack 5;3;L
54512;NIINA SCRT PALETTE SOMB GREEN 5,6g;RUA 03;Rack 5;5;H
55237;QDB LAP OLH MARRONLITO V4 1,2g;RUA 03;Rack 3;1;C
55231;QDB LAP OLH VERDEZULEX V3 1,2g;RUA 03;Rack 3;8;D
55229;QDB LAP OLH COBREZIMO V3 1,2g;RUA 03;Rack 3;1;F
55232;QDB LAP OLH BRANCOLITO V3 1,2g;rua 6;Rack 1;13;AG
59466;LIZ DES COL FLORA 100ml;RUA 01;Rack 6;3;E
56979;QDB BAT CREM LARANJA CORALZITO 3,8g;RUA 03;Rack 5;1;H
55735;NIINA SCRT PO SOLTO P/M COR 5 12g;RUA 03;Rack 6;6;B
56977;QDB BAT CREM PINK MAGENTEX 3,8g;RUA 03;Rack 3;8;M
55736;NIINA SCRT PO SOLTO P/M COR 6 12g;RUA 03;Rack 5;5;C
58264;BOTICA 214 LOC D H CP AFR/SU FG/AM 200g;RUA 04;Rack 8;4;H
56686;KIT DR BOTICA MAGICO TEATRO BONECOS;SALA G;Rack 4;4;B
53138;IMENSI DES COL INFINITE 100ml;rua 6;Rack 1;3;AM
56991;CBEM COND MANGA FEIRA BRASIL 170ml;RUA 05;Rack 3;3;I
55230;QDB LAP OLH PRETUCO V4 1,2g;rua 6;Rack 1;4;A
54312;INSTANCE SAB CP MOU DC/FIN TAR/L/S 150ml;RUA 03;Rack 1;3;C
53725;BOTI BABY FRASQUEIRA PURO CUIDADO PES;RUA 05;Rack 4;4;I
53725;BOTI BABY FRASQUEIRA PURO CUIDADO PES;SALA G;Rack 3;2;I
57755;QDB KIT DE ESPONJAS DUPLA INFALIVEL;RUA 03;Rack 11;1;M
53142;IMENSI DES COL ALIVE V2 100ml;RUA 02;Rack 1;3;G
55236;QDB LAP OLH ROSATON V3 1,2g;rua 6;Rack 1;4;B
53726;BOTI BABY MOCHILA MATERNIDADE PES;SALA G;Rack 3;8;C
59188;CBEM SHAMP FEIRA BANANA V2 230ml;RUA 05;Rack 2;1;H
59188;CBEM SHAMP FEIRA BANANA V2 230ml;rua 6;Rack 1;14;AH
59404;CBEM CREM HID DES CPO MELANC 150ml;rua 6;Rack 1;4;C
56025;MEN SHW GEL CAB/CPO V5 205g;RUA 04;Rack 9;3;J
56913;QDB GLOS DOS SONHOS CORALDEX 4ml;RUA 03;Rack 3;3;N
56957;QDB BAT LIQ CREM DOS SONHOS ROSITE 4ml;RUA 03;Rack 4;4;H
56907;QDB GLOS DOS SONHOS ROSADEX 4ml;RUA 03;Rack 3;3;M
56905;QDB GLOS DOS SONHOS DOURADEX 4ml;RUA 03;Rack 3;3;Q
56572;EUD EDP ROSE 75ml;RUA 02;Rack 2;1;E
56052;QDB BALM LAB HIDRATANTE V2 7,5g;RUA 05;Rack 5;1;G
56909;QDB GLOS DOS SONHOS CASTANHEX 4ml;RUA 03;Rack 6;3;E
56948;QDB BAT LIQ INSTAMATTE JABUTICALI 4ml;RUA 03;Rack 5;3;E
56962;QDB BAT LIQ INSTAMATTE VERMELI 4ml;RUA 03;Rack 3;5;Y
57616;QDB BAT LIQ INSTAMATTE AZALEIALI 4ml;RUA 03;Rack 3;3;G
56850;QDB BAT LIQ INSTAMATTE VINHELI 4ml;RUA 03;Rack 4;6;I
56947;QDB BAT LIQ INSTAMATTE CAFELI 4ml;RUA 03;Rack 3;1;K
87454;CBEM COND FEIRA OLEO COCO V2 170ml;RUA 05;Rack 3;3;H
56848;QDB BAT LIQ INSTAMATTE MARRONLI 4ml;RUA 03;Rack 3;2;W
57821;QDB BAT STCK SEMI MAT VOL ROSADO V4 3,4g;RUA 03;Rack 4;10;F
56847;QDB BAT LIQ INSTAMATTE CASTANHELI 4ml;RUA 03;Rack 10;9;B
57810;QDB BAT STCK SEMI MAT VOL COBRE/LAR 3,4g;RUA 03;Rack 3;7;U
56852;QDB BAT LIQ INSTAMATTE CACAULI 4ml;RUA 03;Rack 4;7;B
52085;MATCH BOOSTER NUTR CAP CIEN/CURV 90ml;rua 6;Rack 2;8;B
53320;QDB BASE LIQ INSTAMATTE 330N 30ml;RUA 03;Rack 4;2;X
53298;QDB BASE LIQ INSTAMATTE 185F 30ml;RUA 03;Rack 5;3;I
56727;QDB BAT LIQ MAT VOL MARR/DAMASCO V3 4ml;RUA 03;Rack 4;11;X
53312;QDB BASE LIQ INSTAMATTE 215Q 30ml;RUA 03;Rack 5;2;D
53310;QDB BASE LIQ INSTAMATTE 270Q 30ml;RUA 03;Rack 4;5;S
57828;QDB BAT STCK SEMI MAT VOL AMEND V2 3,4g;rua 6;Rack 1;4;D
53347;REF NSPA LOC DES HID CPO LILAC 350ml;RUA 03;Rack 2;3;C
53319;QDB BASE LIQ INSTAMATTE 110Q 30ml;RUA 03;Rack 6;6;H
53304;QDB BASE LIQ INSTAMATTE 290F 30ml;rua 6;Rack 1;4;E
53299;QDB BASE LIQ INSTAMATTE 260O 30ml;RUA 03;Rack 5;11;A
53308;QDB BASE LIQ INSTAMATTE 220O 30ml;RUA 03;Rack 4;5;J
55803;SIAGE COND RESG IMEDIATO 200ml;RUA 02;Rack 1;2;G
56912;QDB GLOS DOS SONHOS VERMEDEX 4ml;RUA 03;Rack 3;7;Q
56911;QDB GLOS DOS SONHOS CEREJEX 4ml;rua 6;Rack 1;4;F
56944;QDB BAT LIQ INSTAMATTE DAMASCOLI 4ml;rua 6;Rack 1;4;G
56942;QDB BAT LIQ INSTAMATTE CEREJALI 4ml;RUA 03;Rack 4;2;O
56945;QDB BAT LIQ INSTAMATTE AVELALI 4ml;RUA 03;Rack 3;3;S
56853;QDB BAT LIQ INSTAMATTE AMORLI 4ml;RUA 03;Rack 4;12;L
57820;QDB BAT STCK SEMI MAT VOL ROSEIR V4 3,4g;RUA 03;Rack 4;3;A
53305;QDB BASE LIQ INSTAMATTE 190N 30ml;RUA 03;Rack 6;5;E
56470;KIT QDB SKINQ;SALA G;Rack 4;4;C
55802;SIAGE SHAMP RESG/IMED 250ml;RUA 02;Rack 2;3;G
56866;QDB BAT LIQ INSTAMATTE MARSALILI 4ml;RUA 03;Rack 3;2;N
56860;QDB BAT LIQ INSTAMATTE TERRACOTALI 4ml;rua 6;Rack 1;4;H
56858;QDB BAT LIQ INSTAMATTE BEGELI 4ml;RUA 03;Rack 4;12;M
56851;QDB BAT LIQ INSTAMATTE ROSEIRALI 4ml;RUA 03;Rack 4;6;A
56844;QDB BAT LIQ INSTAMATTE ROSETALI 4ml;RUA 03;Rack 3;4;V
56855;QDB BAT LIQ INSTAMATTE BORDOLI 4ml;RUA 03;Rack 4;2;P
53144;IMENSI DES COL V3 100ml;RUA 01;Rack 5;1;E
57825;QDB BAT STCK SEMI MAT VOL GOIABA V4 3,4g;RUA 03;Rack 4;3;I
53295;QDB BASE LIQ INSTAMATTE 140N 30ml;RUA 03;Rack 5;11;H
56725;QDB BAT LIQ MAT VOL ROSA AMORALI 4ml;RUA 03;Rack 3;6;P
53293;QDB BASE LIQ INSTAMATTE 240F 30ml;RUA 03;Rack 3;3;O
53294;QDB BASE LIQ INSTAMATTE 180Q 30ml;RUA 03;Rack 4;4;G
56721;QDB BAT STCK SEMI MAT VOL MARR/CHOC 3,4g;RUA 03;Rack 3;5;Q
53292;QDB BASE LIQ INSTAMATTE 250Q 30ml;RUA 03;Rack 4;6;N
53321;QDB BASE LIQ INSTAMATTE 320N 30ml;RUA 03;Rack 5;9;A
53311;QDB BASE LIQ INSTAMATTE 120N 30ml;RUA 03;Rack 4;5;F
56941;QDB BAT LIQ INSTAMATTE MALVALI 4ml;RUA 03;Rack 3;4;S
56859;QDB BAT LIQ INSTAMATTE LILALI 4ml;RUA 03;Rack 4;11;S
56865;QDB BAT LIQ INSTAMATTE AMENDOLI 4ml;rua 6;Rack 1;4;I
56849;QDB BAT LIQ INSTAMATTE GOIABALI 4ml;RUA 03;Rack 4;10;V
56729;QDB BAT LIQ MAT VOL MARR/CAMURCALI 4ml;RUA 03;Rack 4;3;Y
56854;QDB BAT LIQ INSTAMATTE UVALI 4ml;RUA 03;Rack 4;1;T
53291;QDB BASE LIQ INSTAMATTE 245F 30ml;RUA 03;Rack 4;10;W
53307;QDB BASE LIQ INSTAMATTE 310Q 30ml;RUA 03;Rack 3;7;B
53297;QDB BASE LIQ INSTAMATTE 292O 30ml;RUA 03;Rack 5;8;E
53302;QDB BASE LIQ INSTAMATTE 130Q 30ml;RUA 03;Rack 5;6;D
53306;QDB BASE LIQ INSTAMATTE 300N 30ml;RUA 03;Rack 4;9;K
58680;CJ FLAC OUI EDP LE FLANEUR 020 3x1ml;rua 6;Rack 2;10;G
56958;QDB BAT LIQ CREM DOS SONHOS ROXITE 4ml;RUA 03;Rack 4;1;I
56805;MATCH COND SCIENCE RECONSTRUCAO 280ml;RUA 04;Rack 13;3;B
56028;MEN LOC DES HID CPO 200ML;RUA 05;Rack 4;4;J
56810;MATCH COND SCIENCE CRESCIMENTO 280ml;RUA 04;Rack 13;2;I
56812;MATCH TON CAP SCIENCE CRESC V2 65ml;RUA 03;Rack 8;8;E
56961;QDB BAT LIQ CREM DOS SONHOS UVITE 4ml;RUA 03;Rack 3;4;M
56643;GLAM CASE BAT AMULIPS ROSA GLAMOUR PLAST;RUA 03;Rack 3;7;Z
56678;EUD KIT PINCEIS MAQUIAGEM PS;rua 6;Rack 1;4;K
56402;COFFEE DES COL MAN ADDICTIVE 100ml;RUA 04;Rack 7;4;B
56960;QDB BAT LIQ CREM DOS SONHOS LARANJIT 4ml;RUA 03;Rack 4;8;R
56001;MEN CREM HID ANTIATRITO SPORT 100G;RUA 05;Rack 2;2;B
56001;MEN CREM HID ANTIATRITO SPORT 100G;rua 6;Rack 1;4;L
52752;GLAMOUR DES COL SCRT BLACK INTENSE 75ml;RUA 01;Rack 8;4;E
56956;QDB BAT LIQ CR DOS SONHOS VERMELITE 4ml;RUA 03;Rack 4;9;I
56487;OUI SHW GEL CAB/CPO LE FLANEUR 020 200g;RUA 05;Rack 2;2;C
56811;MATCH MASC CAP SCIENCE CRESC V2 250g;RUA 04;Rack 11;2;I
57780;MATCH MASC HID 2ABC 3ABC CIEN/CURV 50ml;RUA 03;Rack 8;8;D
55975;MEN SHAMP/COND 2/1 250ml;RUA 04;Rack 8;4;D
55975;MEN SHAMP/COND 2/1 250ml;RUA 05;Rack 2;1;D
57765;MATCH MASC HID 4ABC CIEN/CURV 50ml;RUA 03;Rack 8;7;C
56583;BOTI NECESS VERDE/DOURADA ALG;rua 6;Rack 1;4;M
52741;REF MATCH CR PENT CACHOS CIEN/CURV 400ml;RUA 02;Rack 4;2;F
54516;NIINA SCRT MASC CILIO SUPER BOLD 10g;RUA 03;Rack 3;3;C
56579;BOTI NECESS FEM 2/1 PU;SALA G;Rack 3;2;E
55902;GLAM BAS LIQ SKIN SCULPT COR 100 30ml;RUA 03;Rack 4;12;P
58406;LA PIEL BALM DES CPO TR AC INT BIOS 100g;RUA 04;Rack 10;2;I
58015;KIT OUI JARDIN/GRASSE;SALA G;Rack 4;4;E
56846;QDB BAT LIQ INSTAMATTE MORENALI 4ml;RUA 03;Rack 4;2;M
56862;QDB BAT LIQ INSTAMATTE CARAMELI 4ml;RUA 03;Rack 4;7;G
56946;QDB BAT LIQ INSTAMATTE ROSADOLI 4ml;rua 6;Rack 1;4;N
53322;QDB BASE LIQ INSTAMATTE 100F 30ml;RUA 03;Rack 6;6;A
56728;QDB BAT LIQ MAT VOL ROSA PINKLI 4ml;RUA 03;Rack 4;1;AA
53301;QDB BASE LIQ INSTAMATTE 200F 30ml;rua 6;Rack 1;4;O
53309;QDB BASE LIQ INSTAMATTE 225Q 30ml;RUA 03;Rack 6;4;C
53296;QDB BASE LIQ INSTAMATTE 280Q 30ml;RUA 03;Rack 3;3;B
55707;NSPA LOC DES HID CPO LILAC 180ml;RUA 05;Rack 4;1;A
56578;QDB PINCEL MULTIUSO ROSTO;SALA G;Rack 1;4;F
59189;REF NIINA SKIN GEL HID FAC 30ml;RUA 05;Rack 5;1;F
58641;IMENSI DES BDY SPR V2 100ml;RUA 04;Rack 4;3;I
57390;EUD CREM DES HID CPO ROSE 250g;RUA 04;Rack 7;4;E
58640;LA VICTORIE DES BDY SPR INTENSE V2 100ml;RUA 05;Rack 4;2;F
58639;LYRA DES BDY SPR V2 100ml;RUA 05;Rack 4;2;E
55592;QDB PRIMER FAC LIQ INSTAMATTE 20ml;SALA G;Rack 3;7;C
55889;GLAM BAS LIQ SKIN SCULPT COR 03 30ml;RUA 03;Rack 5;12;C
55894;GLAM BAS LIQ SKIN SCULPT COR 10 30ml;RUA 03;Rack 6;6;C
56592;BOTI NECESS FEM PREMIUM LONA;SALA G;Rack 3;7;J
56796;MATCH SHAMP SCIENCE PRE/POS QUIM 300ml;RUA 02;Rack 5;1;C
56796;MATCH SHAMP SCIENCE PRE/POS QUIM 300ml;RUA 04;Rack 7;3;E
56797;MATCH COND SCIENCE PRE/POS QUIM 280ml;RUA 04;Rack 1;3;F
56798;MATCH MASC CAP SCIENCE PRE/POS QUIM 250g;RUA 04;Rack 3;2;H
55888;GLAM BAS LIQ SKIN SCULPT COR 85 30ml;RUA 03;Rack 4;7;N
55887;GLAM BAS LIQ SKIN SCULPT COR 05 30ml;RUA 03;Rack 5;1;F
55891;GLAM BAS LIQ SKIN SCULPT COR 00 30ml;RUA 03;Rack 5;2;B
53300;QDB BASE LIQ INSTAMATTE 210N 30ml;RUA 03;Rack 4;7;X
55472;SIAGE SHAMP SCALP REBALANCE 300ml;RUA 04;Rack 11;4;F
55472;SIAGE SHAMP SCALP REBALANCE 300ml;RUA 05;Rack 3;1;I
55885;GLAM BAS LIQ SKIN SCULPT COR 35 30ml;RUA 03;Rack 3;2;G
55903;GLAM BAS LIQ SKIN SCULPT COR 15 30ml;RUA 03;Rack 4;6;F
56000;PMPCK MEN CABELOS;RUA 04;Rack 11;3;J
55734;NIINA SCRT PO SOLTO P/M COR 4 12g;RUA 03;Rack 4;9;C
53919;NEO DERMO SRUM VITAM C ACTIV/PRO 30ml;RUA 05;Rack 5;2;Q
53919;NEO DERMO SRUM VITAM C ACTIV/PRO 30ml;RUA 05;Rack 5;4;F
56293;SIAGE SHAMP CRESPOS/CACHEADOS MEN 250ml;RUA 02;Rack 2;2;G
56297;SIAGE OLEO CAP CRESPOS/CACHOS MEN 100ml;RUA 05;Rack 2;3;J
56297;SIAGE OLEO CAP CRESPOS/CACHOS MEN 100ml;rua 6;Rack 1;4;S
55879;GLAM BLUSH COMP BROWN FASHIONED 5g;RUA 03;Rack 5;7;F
55481;NIINA SKIN SERUM FIRM LIFTING 30ml;RUA 05;Rack 5;4;G
55871;GLAM CORRET CUSH SKIN SCULPT COR 100 4ml;RUA 03;Rack 3;4;Z
55804;SIAGE MASC CAP RESG IMEDIATO 250g;RUA 01;Rack 8;1;D
58216;DEM EUD K/M DES COL DELICIOUS 4ml;rua 6;Rack 1;4;T
58441;QDB LAPIS OLHOS LAVANDISSIMA 1,2g;rua 6;Rack 1;4;U
56182;CBEM CAPINHA CREME NUVEM SILICONE;RUA 03;Rack 8;7;F
57076;SIAGE LEAVE IN RESG IMEDIATO 100ml;RUA 04;Rack 6;1;A
56674;NIINA SCRT PINCEL PO PS;SALA G;Rack 3;1;J
56675;NIINA SCRT PINCEL MULTIFUNCIONAL PS;rua 6;Rack 2;5;O
56770;EUD PORTA BATOM PAPEL;RUA 04;Rack 2;4;F
56770;EUD PORTA BATOM PAPEL;SALA G;Rack 3;7;H
56676;NIINA SECRETS ESPONJA MAQ PINK PUFF PES;SALA G;Rack 1;2;E
55733;NIINA SCRT PO SOLTO P/M COR 3 12g;RUA 03;Rack 3;8;H
55731;NIINA SCRT PO SOLTO P/M COR 1 12g;rua 6;Rack 1;12;AE
54511;NIINA SCRT DEL LIQ CRYST BRLH R/GOLD 3g;RUA 03;Rack 6;9;E
56365;EUD K/M DES COL DELICIOUS 50ml;RUA 04;Rack 9;1;F
55630;LA PIEL DES ANTIT ROL BIOSENSITIVE 55ml;RUA 03;Rack 2;1;C
53145;IMENSI LOC DES HID CPO V3 200ml;RUA 04;Rack 10;3;I
56984;QDB LAPIS OLHOS LARANJETE 1,2g;rua 6;Rack 1;4;V
54613;NIINA SCRT LIP OIL SHIN FLOW R/SILV 7ml;RUA 03;Rack 3;3;F
56639;REF GLAM BAT S/M AMULIPS ROS/AUTENT 3,4g;rua 6;Rack 2;9;G
54513;NIINA SCRT LAPIS SOBRANC 3/1 CL 1,1g;RUA 03;Rack 3;5;G
55675;REF SIAGE MASC CAP NUTRI ROSE 250g;RUA 02;Rack 3;1;E
55669;REF SIAGE MASC CAP CAUT/FIOS 250g;RUA 02;Rack 1;1;F
56636;REF GLAM BAT S/M AMULIPS VERM/ENV 3,4g;RUA 03;Rack 10;9;E
56295;SIAGE CREM PENTEAR CACHEADOS MEN 450g;RUA 05;Rack 1;3;D
56985;QDB LAPIS OLHOS PINKETE 1,2g;rua 6;Rack 1;4;X
54612;NIINA SCRT LIP OIL SHIN FLOW R/CENT 7ml;RUA 03;Rack 4;7;M
56974;QDB BAT MATE ROSA ROSADISSIMO 3,8g;RUA 03;Rack 4;9;V
56973;QDB BAT MATE LARANJA QUENTITO 3,8g;RUA 03;Rack 5;9;D
54450;INTENTION FOR MAN DES COL CLOSE 100ml;RUA 04;Rack 8;3;G
56671;NIINA SCRT PINCEL CONTORNO PS;RUA 03;Rack 11;1;I
55676;REF SIAGE MASC CAP CICA THERAPY 250g;RUA 02;Rack 3;1;C
55807;CJ SCH SIAGE RESG IM SH/COND/M VDA 3x7ml;rua 6;Rack 1;13;AI
56298;SIAGE SPRAY ATIV CACHOS MEN 100ml;RUA 05;Rack 3;3;J
56298;SIAGE SPRAY ATIV CACHOS MEN 100ml;rua 6;Rack 1;12;M
55674;REF SIAGE MASC CAP HIAL HAIR/PLAS 250g;RUA 02;Rack 3;4;B
58404;LA PIEL LOC DES HID CPO BIOSENS 400ml;rua 6;Rack 1;13;AJ
53136;IMENSI LOC DES HID CPO INFINITE 200ml;RUA 04;Rack 13;1;F
56711;BOTI NECESS DIVERTIDAMENTE 2 PES;RUA 05;Rack 2;3;C
56711;BOTI NECESS DIVERTIDAMENTE 2 PES;SALA G;Rack 3;4;C
56459;IMPRESSION DES BDY SPR 100ml;RUA 04;Rack 1;3;I
57476;MAGNIFIC DES BDY SPR V2 100ml;RUA 05;Rack 4;1;F
56983;QDB LAPIS OLHOS UVISSIMA 1,2g;pré-vencidos;Rack 1;4;H
53356;NSPA CREM HID MAOS/PES LILAC 50g;rua 6;Rack 1;4;Z
55955;SOUL K/M BAT TREND CLRS LAR/STYLE 3,7g;RUA 03;Rack 6;5;A
56294;SIAGE COND CRESPOS/CACHEADOS MEN 200ml;RUA 02;Rack 2;3;C
55474;SIAGE COND ANTIQUEDA DERMO 280ml;RUA 05;Rack 4;1;E
55473;SIAGE COND SCALP REBALANCE 280ml;rua 6;Rack 1;4;AA
56670;NIINA SCRT PINCEL ILUMINADOR PS;SALA G;Rack 1;2;F
55677;REF SIAGE MASC CAP LISO INTENSO 250g;RUA 02;Rack 3;3;B
55475;SIAGE SRUM CAP SCALP REBALANCE 48ml;RUA 04;Rack 11;1;E
59526;NIINA SCRT DES COL CELEBRATE 100ml;RUA 02;Rack 3;3;C
53353;NSPA DES COL BDY SPLSH LILAC 200ml;RUA 04;Rack 11;2;J
57781;NIINA SCRT PINCEL BASE PS V2;RUA 03;Rack 11;1;L
55805;SIAGE ACIDIFICANTE RESG IMEDIATO 150ml;RUA 02;Rack 4;4;F
57491;SIAGE MAS/CAP RESISTENCIA ANTIQUEDA 250g;RUA 04;Rack 4;2;A
57742;QDB GEL HID FAC CASQUINHA/BAUNILHA 80g;RUA 05;Rack 5;2;A
54197;ESTJ BOTIK ACIDO HIALURONICO;SALA G;Rack 4;2;E
55882;GLAM PRIMER LIQ FAC METALS 32ml;RUA 03;Rack 6;2;I
57730;SOPHIE NEXT LEAV CAP DIVERT2 MEMR 100ml;RUA 02;Rack 3;2;B
55846;EUDORA H DES ANTIT AER FLOW 125ml;RUA 04;Rack 1;2;J
56585;MAKE B MALETA MAQ C/ALCA PES;rua 6;Rack 1;4;AB
57415;SIAGE GEL CAP MODEL EFEITO MOLH MEN 150g;RUA 04;Rack 12;2;D
55437;NIINA SKIN SRUM FAC CONC VITAM C 30ml;RUA 05;Rack 5;2;R
58405;LA PIEL GEL HID BANHO CPO BIOSENS 200g;RUA 04;Rack 10;2;D
58528;ESTJ FLORATTA BLUE V2;rua 6;Rack 1;4;AC
50014;CLUB 6 DES BDY SPR 100ml;RUA 02;Rack 5;2;G
58633;EUD DES BDY SPR V2 100ml;RUA 01;Rack 5;4;D
56577;QDB KIT PINCEIS SUPER COLOR;SALA G;Rack 3;1;C
56577;QDB KIT PINCEIS SUPER COLOR;RUA 03;Rack 11;1;H
53346;NSPA LOC DES HID CPO LILAC 400ml;RUA 04;Rack 9;3;A
50930;UOMINI DES COL SPIRIT PRM 10ml;rua 6;Rack 1;4;AD
73869;MAKE B MASC CILIOS VOL EXTREMO PRM 5g;sala A;Rack 1;2;D
56606;OUI CREM DES RICHE LA VILLETTE 200g;RUA 04;Rack 7;4;I
50010;INTENTION FOR MAN DES BDY SPR 100ml;RUA 02;Rack 4;1;E
53936;MAKE B PINCEL P/BASE FIBRAS DUPLAS ABS;SALA G;Rack 1;5;D
50012;VOLPE DES BDY SPR 100ml;RUA 03;Rack 2;2;G
56607;OUI LOC DES HID CPO LA VILLETTE 400ml;RUA 04;Rack 13;2;C
53906;MAKE B PINCEL ESPIRAL P/PELE ABS;SALA G;Rack 1;6;G
50732;UOMINI DES COL SPIRIT 100ml;RUA 04;Rack 2;3;H
4480;BOTIK ACQ GEL HID FAC ANTIS AC/POLIG 50G;RUA 03;Rack 3;10;B
53907;MAKE B PINCEL P/BLUSH ABS;rua 6;Rack 1;4;AE
53904;MAKE B PINCEL P/PO ABS;SALA G;Rack 1;7;D
53847;MAKE B PINCEL OLHOS DUPLO PS;rua 6;Rack 1;4;AF
53910;MAKE B PINCEL P/BASE ABS;SALA G;Rack 1;6;A
84391;MALBEC DES COL GOLD V3 100ml;RUA 01;Rack 4;1;A
57360;MATCH MASC C SCIEN PRE/POS QUIM PRM 50ML;sala A;Rack 1;2;E
84388;MALBEC DES COL NOIR V3 100ml;rua 6;Rack 1;4;AG
54879;ESTJ BOTI BABY NINHO V2;rua 6;Rack 1;4;AH
56325;QDB ILUM PO COMP FAC POMO/OURO 5g;rua 6;Rack 1;4;AI
56730;QDB DELINEADOR LIQ INCENDIO 7ml;rua 6;Rack 1;4;AJ
57488;LIZ CREM DES HID CPO FLORA 250g;RUA 04;Rack 9;2;E
56005;MEN CREM PRE/POS BARBA 150g;RUA 05;Rack 3;1;A
56005;MEN CREM PRE/POS BARBA 150g;rua 6;Rack 2;8;A
56407;COFFEE DES COL MAN ADDICTIVE PRM 10ml;rua 6;Rack 1;4;AK
57445;MAKE B BAT LIQ VELV/SBLM ONE FREN/ROS 2g;RUA 03;Rack 4;3;G
55446;QDB ESFOLIANTE FACIAL BRIGADEIRO 50g;RUA 05;Rack 5;2;B
54887;ESTJ BOTI BABY CASCA V2;rua 6;Rack 1;4;AL
55801;GLAM BLUSH BRNZ COMP GRADIENT METALS 7g;RUA 03;Rack 4;1;Y
56445;CBEM GEL DES HID CPO BOB ESPONJA 150g;RUA 04;Rack 11;1;B
56135;QDB GEL LIM FAC AUL/TRANS SKINQ 2/1 100g;RUA 05;Rack 5;1;O
4481;BOTIK CREM HID FAC FIRM AC/POLIGL 50G;RUA 05;Rack 5;3;R
4481;BOTIK CREM HID FAC FIRM AC/POLIGL 50G;RUA 03;Rack 3;9;G
55222;DR BOTICA ESPUM BNH NUV/IDEIAS 150ml;RUA 05;Rack 3;2;A
56406;COFFEE DES COL WOMAN ADDICTIVE PRM 10ml;rua 6;Rack 1;4;AM
57741;QDB GEL LIMP FAC SKINQ DOCE/LEITE 150g;RUA 05;Rack 5;1;K
54101;MALBEC DES COL X V2 100ml;rua 6;Rack 1;4;AN
56027;MEN SAB BARRA 2x90g;rua 6;Rack 1;13;AK
84390;MALBEC DES COL MAGNETIC V3 100ml;RUA 01;Rack 3;3;E
55986;QDB MASC CILIO VOLUME/DEFINICAO 10g;RUA 03;Rack 6;1;C
57444;MAKE B BAT LIQ VELV/SBLM ONE DEEP/CAR 2g;rua 6;Rack 1;5;A
84399;MALBEC DES COL FLAME V2 100ml;RUA 04;Rack 4;4;A
84392;MALBEC DES COL BLACK V2 100ml;RUA 01;Rack 4;4;A
56321;QDB PLT MULTIF BEM VINDO/HOGWARTS 54g;SALA G;Rack 3;2;G
54152;MALBEC DES COL ICON PRM 10ml;rua 6;Rack 1;5;B
56004;MEN DES AER P/PES SPORT 125ml;RUA 04;Rack 4;4;I
53388;NSPA SAB LIQ PERF AMEIXA 250ml;RUA 04;Rack 9;2;D
57791;BOTIK MASSAGEADOR FAC LIGA/ZINCO;RUA 03;Rack 9;7;C
53410;REF NSPA SAB LIQ CPO PERF AMEI/NEG 200ml;RUA 02;Rack 4;1;A
53409;REF NSPA SAB LIQ CPO PERF AMEIXA 200ml;RUA 02;Rack 3;2;F
54231;MALBEC DES COL ULTRA BLEU V2 100ml;RUA 01;Rack 10;3;C
84400;MALBEC DES COL BLEU V2 100ml;RUA 02;Rack 4;1;B
50863;REF QUASAR DES COL BLUE 100ml;RUA 05;Rack 1;4;B
50863;REF QUASAR DES COL BLUE 100ml;rua 6;Rack 1;5;E
54154;MALBEC DES ANTIT AER ICON 125ml;RUA 04;Rack 7;1;A
56231;VOLPE DES COL TRIUMPH 100ml;RUA 04;Rack 13;4;I
56488;OUI EDP LE FLANEUR 020 75ml;RUA 04;Rack 2;4;C
54169;SOPHIE SHAMP V2 200ml;RUA 01;Rack 7;3;B
54506;NIINA SCRT PRIMER FAC HIDRA GLOW 16ml;RUA 03;Rack 3;5;K
59196;CBEM MASC SCH F/BANANA V2 30ml;RUA 03;Rack 8;9;B
87223;REF QDB ESP LIM F NUT SKINQ LAR V2 110ml;rua 6;Rack 2;9;D
58392;CJ DEM BOTI D/COL FEM/MASC/INF V4 28X4ML;rua 6;Rack 1;5;F
55608;CASA 214 SPR AROMAT VAN/SUBLIME PRM 10ml;sala A;Rack 1;2;G
55977;QDB MASC CILIO BIG BANG PRM 5G;RUA 03;Rack 4;3;N
54657;BOTICA 214 EDP AFRIC/SUNR FLOR/FRUT 75ml;RUA 04;Rack 12;4;D
54461;ZAAD EDP VENTURE PRM 10ml;sala A;Rack 1;2;I
52794;MAKE B BB SEN MULTI 100 150 25g;RUA 03;Rack 5;2;E
57369;SOPHIE NEXT SAB LIQ DIVERT2 MEM 200ml;RUA 04;Rack 9;4;I
59129;ESTJ OUI EDP LA COLLECTION FEM 3x5ml;SALA G;Rack 4;2;H
58336;PMPCK CBEM DES ANTIT AER S/ALUM 2x90g;RUA 04;Rack 1;1;A
55408;BOTIK CR N FIR ROST/PESC RES/SIL PRM 10g;rua 6;Rack 1;5;G
